date,portfolio_value
20210510,99908.0989422737
20210511,100035.05704042071
20210511,100035.05704042071
20210512,100550.99057485214
20210512,100550.99057485214
20210513,99438.50714596423
20210513,99438.50714596423
20210514,101356.94768430777
20210514,101356.94768430777
20210517,102179.09975991893
20210517,102179.09975991893
20210518,102536.31413695264
20210518,102536.31413695264
20210519,102086.75557416031
20210519,102086.75557416031
20210520,101942.46700443789
20210520,101942.46700443789
20210521,101096.18580966839
20210521,101096.18580966839
20210524,101345.86827266638
20210524,101345.86827266638
20210525,103497.490404039
20210525,103497.490404039
20210526,103752.88295406329
20210526,103752.88295406329
20210527,104081.20902703454
20210527,104081.20902703454
20210528,103795.78143857533
20210528,103795.78143857533
20210531,103998.60211673043
20210531,103998.60211673043
20210601,104041.5395368816
20210601,104041.5395368816
20210602,103201.58670747878
20210602,103201.58670747878
20210603,102849.93412132144
20210603,102849.93412132144
20210604,103024.29751544895
20210604,103024.29751544895
20210607,103044.57751822872
20210607,103044.57751822872
20210608,102609.93829826805
20210608,102609.93829826805
20210609,102567.67267525788
20210609,102567.67267525788
20210610,102835.89750963887
20210610,102835.89750963887
20210611,101901.30115676465
20210611,101901.30115676465
20210615,100573.08982868538
20210615,100573.08982868538
20210616,99349.75798007035
20210616,99349.75798007035
20210617,99501.05496577774
20210617,99501.05496577774
20210618,99701.6952452282
20210618,99701.6952452282
20210621,99772.61635904368
20210621,99772.61635904368
20210622,100262.38738479065
20210622,100262.38738479065
20210623,100721.46986579268
20210623,100721.46986579268
20210624,100447.3820954672
20210624,100447.3820954672
20210625,101649.2488328107
20210625,101649.2488328107
20210628,101688.7269459324
20210628,101688.7269459324
20210629,100618.7923252863
20210629,100618.7923252863
20210630,101244.49130828891
20210630,101244.49130828891
20210630,100000.0000000001
20210630,100000.0000000001
20210701,99360.35449062128
20210701,99360.35449062128
20210702,97800.06047328527
20210702,97800.06047328527
20210705,97807.64078014981
20210705,97807.64078014981
20210706,98048.93985419648
20210706,98048.93985419648
20210707,98602.99092332459
20210707,98602.99092332459
20210708,97749.67507781096
20210708,97749.67507781096
20210709,98015.9589981873
20210709,98015.9589981873
20210712,98872.98902605685
20210712,98872.98902605685
20210713,99406.49437203008
20210713,99406.49437203008
20210714,98165.8250887687
20210714,98165.8250887687
20210715,98712.8618536171
20210715,98712.8618536171
20210716,98449.66231193663
20210716,98449.66231193663
20210719,98340.5502476808
20210719,98340.5502476808
20210720,98195.26589562553
20210720,98195.26589562553
20210721,98678.99426896866
20210721,98678.99426896866
20210722,99334.95168139592
20210722,99334.95168139592
20210723,98655.56130428959
20210723,98655.56130428959
20210726,96389.43165510209
20210726,96389.43165510209
20210727,94131.1476520313
20210727,94131.1476520313
20210728,93134.89351981906
20210728,93134.89351981906
20210729,94454.65633624113
20210729,94454.65633624113
20210730,94617.78195387576
20210730,94617.78195387576
20210802,96600.42299697523
20210802,96600.42299697523
20210803,96280.49805190378
20210803,96280.49805190378
20210804,97075.96007855049
20210804,97075.96007855049
20210805,96474.5954289682
20210805,96474.5954289682
20210806,96381.41275315592
20210806,96381.41275315592
20210809,97694.40197689537
20210809,97694.40197689537
20210810,98392.90824675454
20210810,98392.90824675454
20210811,98611.8792009171
20210811,98611.8792009171
20210812,98483.27235631272
20210812,98483.27235631272
20210813,98275.50378866027
20210813,98275.50378866027
20210816,98496.6226808613
20210816,98496.6226808613
20210817,97006.28228848358
20210817,97006.28228848358
20210818,98476.19985057709
20210818,98476.19985057709
20210819,98020.7354188825
20210819,98020.7354188825
20210820,97402.51399335467
20210820,97402.51399335467
20210823,98765.67444699952
20210823,98765.67444699952
20210824,99578.04496872229
20210824,99578.04496872229
20210825,100254.58549267674
20210825,100254.58549267674
20210826,99660.54484829475
20210826,99660.54484829475
20210827,100133.57953668556
20210827,100133.57953668556
20210830,100393.27591238267
20210830,100393.27591238267
20210831,101584.48131575009
20210831,101584.48131575009
20210901,102533.82111698495
20210901,102533.82111698495
20210902,103826.29086477682
20210902,103826.29086477682
20210903,103201.69183128864
20210903,103201.69183128864
20210906,104641.27676938218
20210906,104641.27676938218
20210907,106162.94061093457
20210907,106162.94061093457
20210908,106698.6510049932
20210908,106698.6510049932
20210909,107545.17674113381
20210909,107545.17674113381
20210910,107582.13965690986
20210910,107582.13965690986
20210913,108230.63778715879
20210913,108230.63778715879
20210914,105732.35501133435
20210914,105732.35501133435
20210915,105478.60421459618
20210915,105478.60421459618
